SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																														
Race Traits ~ Darkmantle	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DarkmantleRaceTrait|Flight Maneuverability											BONUS:VAR|Maneuverability|2|TYPE=Racial																																			
Darkness	CATEGORY:Special Ability	TYPE:DarkmantleRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day a darkmantle can cause darkness as theDarkness spell (caster level 5th). It most often uses this ability just before attacking.	KEY:Darkmantle ~ Darkness																		SPELLS:Innate|TIMES=1|CASTERLEVEL=5|Darkness									SOURCEPAGE:MM																	
Improved Grab	CATEGORY:Special Ability	TYPE:DarkmantleRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:To use this ability, a darkmantle must hit a Large or smaller creature with its slam attack. It can then attempt to start a grapple as a free action without provoking an attack of opportunity. If it wins the grapple check, it attaches to the opponent's head and can constrict.	KEY:Darkmantle ~ Improved Grab																											SOURCEPAGE:MM																	
Constrict	CATEGORY:Special Ability	TYPE:DarkmantleRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A darkmantle deals 1d4+4 points of damage with a successful grapple check.	KEY:Darkmantle ~ Constrict																											SOURCEPAGE:MM																	
Blindsight	CATEGORY:Special Ability	TYPE:DarkmantleRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A darkmantle can "see" by emitting high-frequency sounds, inaudible to most other creatures, that allows it to ascertain objects and creatures within 90 feet. A silence spell negates this ability and effectively blinds the darkmantle.	KEY:Darkmantle ~ Blindsight									BONUS:VAR|BlindsightRange|90|TYPE=Base																		SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:DarkmantleRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A darkmantle has a +4 racial bonus on Listen and Spot checks. These bonuses are lost if its blindsight is negated. The creature's variable coloration gives it a +4 racial bonus on Hide Checks.	KEY:Darkmantle ~ Skills									BONUS:SKILL|Listen,Spot|4|TYPE=Racial	BONUS:SKILL|Hide|4|TYPE=Racial																	SOURCEPAGE:MM																	
																																																	
Race Traits ~ Delver	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DelverRaceTrait	AUTO:LANG|Terran|Undercommon																																													
Corrosive Slime	CATEGORY:Special Ability	TYPE:DelverRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A delver produces a mucuslike slime that contains a highly corrosive substance. The slime is particularly effective against stone. A delver's mere touch deals 2d6 points of acid damage to organic creatures or objects. Against metallic creatures or objects, a delver's slime deals 4d8 points of damage, and against stony creatures (including earth elementals) or objects it deals 8d10 points of damage. A slam attack by a delver leaves a patch of slime that deals 2d6 points of damage on contact and another 2d6 points of damage in each of the next 2 rounds. A large quantity (at least a quart) of water or weak acid, such as vinegar, washes off the slime. An opponent's armor and clothing dissolve and become useless immediately unless the wearer succeeds on a DC %1 Reflex save. Weapons that strike a delver also dissolve immediately unless the wielder succeeds on a DC %1 Reflex save. A creature attacking a delver with natural weapons takes damage from its slime each time an attack hits unless the creature succeeds on a DC %1 Reflex save. These save DCs are Constitution-based.|CorrosiveSlimeDC	KEY:Delver ~ Corrosive Slime				DEFINE:CorrosiveSlimeDC|0					BONUS:VAR|CorrosiveSlimeDC|DefaultDCCon	BONUS:VAR|CorrosiveSlimeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Corrosive Slime)								ABILITY:Ability Focus|AUTOMATIC|Corrosive Slime									SOURCEPAGE:MM																	
Stone Shape	CATEGORY:Special Ability	TYPE:DelverRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A delver can alter its slime to temporarily soften stone instead of dissolving it. Once every 10 minutes, a delver can soften and shape up to 25 cubic feet of stone, as a Stone Shape spell (caster level 15th).	KEY:Delver ~ Stone Shape																											SOURCEPAGE:MM																	
																																																	
Race Traits ~ Demon (Babau)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DemonBabauRaceTrait																																														
Natural Weapons	CATEGORY:Special Ability	TYPE:DemonBabauRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A babau's natural weapons, as well as any weapons it wields, are treated as chaotic-aligned and evil-aligned for the purpose of overcoming damage reduction.	KEY:Demon ~ Babau ~ Natural Weapons																											SOURCEPAGE:MM																	
Sneak Attack	CATEGORY:Special Ability	TYPE:DemonBabauRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A babau can make a sneak attack like a rogue, dealing an extra 2d6 points of damage whenever a foe is denied his or her Dexterity bonus, or when the babau is flanking.	KEY:Demon ~ Babau ~ Sneak Attack									BONUS:VAR|SneakAttackDice|2	BONUS:VAR|SneakAttackDieSize|6|TYPE=Base								ABILITY:Special Ability|AUTOMATIC|Sneak Attack									SOURCEPAGE:MM																	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DemonBabauRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Demon ~ Babau ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=7|Darkness|Dispel Magic|See Invisibility|Teleport (Greater/Self Only)									SOURCEPAGE:MM																	
Protective Slime	CATEGORY:Special Ability	TYPE:DemonBabauRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A slimy red jelly coats the babau's skin. Any weapon that touches it takes 1d8 points of acid damage from the corrosive goo, and the weapon's hardness does not reduce this damage. A magic weapon may attempt a DC %1 Reflex save to avoid taking this damage. A creature who strikes the babau with an unarmed attack, unarmed strike, touch spell, or natural weapon takes this damage as well but can negate the damage with a DC %1 Reflex save. The save DCs are Constitution-based.|ProtectiveSlimeDC	KEY:Demon ~ Babau ~ Protective Slime				DEFINE:ProtectiveSlimeDC|0					BONUS:VAR|ProtectiveSlimeDC|DefaultDCCon	BONUS:VAR|ProtectiveSlimeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Protective Slime)								ABILITY:Ability Focus|AUTOMATIC|Protective Slime									SOURCEPAGE:MM																	
Summon Tanar'ri	CATEGORY:Special Ability	TYPE:DemonBabauRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day a babau can attempt to summon 1 babau with a 40%% chance of success. This ability is the equivalent of a 3rd-level spell.	KEY:Demon ~ Babau ~ Summon Tanar'ri																											SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:DemonBabauRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Babaus have a +8 racial bonus on Hide, Listen, Move Silently, and Search checks.	KEY:Demon ~ Babau ~ Skills									BONUS:SKILL|Hide,Listen,Move Silently,Search|8|TYPE=Racial																		SOURCEPAGE:MM																	
Telepathy	CATEGORY:Special Ability	TYPE:DemonBabauRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Demon ~ Babau ~ Telepathy				DEFINE:TelepathyRange|0					BONUS:VAR|TelepathyRange|100									ABILITY:Special Ability|VIRTUAL|Telepathy									SOURCEPAGE:MM																	
																																																	
Race Traits ~ Demon (Balor)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DemonBalorRaceTrait|Flight Maneuverability											BONUS:VAR|Maneuverability|4|TYPE=Racial																																			
Natural Weapons	CATEGORY:Special Ability	TYPE:DemonBalorRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A balor's natural weapons, as well as any weapons it wields, are treated as chaotic-aligned and evil-aligned for the purpose of overcoming damage reduction.	KEY:Demon ~ Balor ~ Natural Weapons																											SOURCEPAGE:MM																	
Death Throes	CATEGORY:Special Ability	TYPE:DemonBalorRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:When killed, a balor explodes in a blinding flash of light that deals 100 points of damage to anything within 100 feet (Reflex DC %1 half ). This explosion automatically destroys any weapons the balor is holding. The save DC is Constitution-based.|DeathThroesDC	KEY:Demon ~ Balor ~ Death Throes				DEFINE:DeathThroesDC|0					BONUS:VAR|DeathThroesDC|DefaultDCCon	BONUS:VAR|DeathThroesDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Death Throes)								ABILITY:Ability Focus|AUTOMATIC|Death Throes									SOURCEPAGE:MM																	
Entangle	CATEGORY:Special Ability	TYPE:DemonBalorRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A balor's +1 Flaming Whip entangles foes much like an attack with a net. The whip has 20 hit points. The whip needs no folding. If it hits, the target and the balor immediately make opposed Strength checks; if the balor wins, it drags the target against its flaming body (see below). The target remains anchored against the balor's body until it escapes the whip.	KEY:Demon ~ Balor ~ Entangle																											SOURCEPAGE:MM																	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DemonBalorRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Demon ~ Balor ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Blasphemy,17+CHA|Dominate Monster,19+CHA|Dispel Magic (Greater)|Teleport (Greater/Self Only)|Insanity,17+CHA|Power Word Stun|Telekinesis,15+CHA|Unholy Aura,18+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=20|Fire Storm,18+CHA|Implosion,17+CHA								SOURCEPAGE:MM																	
Vorpal Sword	CATEGORY:Special Ability	TYPE:DemonBalorRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Every balor carries a +1 vorpal longsword that looks like a flame or a bolt of lightning.	KEY:Demon ~ Balor ~ Vorpal Sword																											SOURCEPAGE:MM																	
Summon Tanar'ri	CATEGORY:Special Ability	TYPE:DemonBalorRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day a balor can automatically summon 4d10 dretches, 1d4 hezrous, or one nalfeshnee, glabrezu, marilith, or balor. This ability is the equivalent of a 9th-level spell.	KEY:Demon ~ Balor ~ Summon Tanar'ri																											SOURCEPAGE:MM																	
Flaming Body	CATEGORY:Special Ability	TYPE:DemonBalorRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The body of a balor is wreathed in flame. Anyone grappling a balor takes 6d6 points of fire damage each round.	KEY:Demon ~ Balor ~ Flaming Body																											SOURCEPAGE:MM																	
True Seeing	CATEGORY:Special Ability	TYPE:DemonBalorRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Balors have a continuous true seeing ability, as the spell (caster level 20th).	KEY:Demon ~ Balor ~ True Seeing									BONUS:VAR|HasTrueSeeingVision|1|TYPE=Base																		SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:DemonBalorRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Balors have a +8 racial bonus on Listen and Spot checks.	KEY:Demon ~ Balor ~ Skills									BONUS:SKILL|Listen,Spot|8|TYPE=Racial																		SOURCEPAGE:MM																	
																																																	
Race Traits ~ Demon (Bebilith)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DemonBebilithRaceTrait	AUTO:LANG|Abyssal|Telepathy																																													
Natural Weapons	CATEGORY:Special Ability	TYPE:DemonBebilithRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A bebilith's natural weapons, as well as any weapons it wields, are treated as chaotic-aligned and evil-aligned for the purpose of overcoming damage reduction.	KEY:Demon ~ Bebilith ~ Natural Weapons																											SOURCEPAGE:MM																	
Poison	CATEGORY:Special Ability	TYPE:DemonBebilithRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d6 CON, secondary damage 2d6 CON.&nl;Bebilith venom is highly perishable, losing its potency and becoming inert, foul-smelling goo almost as soon as it comes into contact with air. The save DC is Constitution-based.|PoisonDC	KEY:Demon ~ Bebilith ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:MM																	
Rend Armor	CATEGORY:Special Ability	TYPE:DemonBebilithRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:If a bebilith hits with both claw attacks, it pulls apart any armor worn by its foe. This attack deals 4d6+18 points of damage to the opponent's armor. Creatures not wearing armor are unaffected by this special attack. Armor reduced to 0 hit points is destroyed. Damaged armor may be repaired with a successful Craft (armorsmithing) check.	KEY:Demon ~ Bebilith ~ Rend Armor																											SOURCEPAGE:MM																	
Web	CATEGORY:Special Ability	TYPE:DemonBebilithRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A bebilith can throw a web up to four times per day. This is similar to an attack with a net but has a maximum range of 30 feet, with a range increment of 10 feet. This attack is effective against targets of up to Gargantuan size. The web anchors the target in place, allowing no movement. An entangled creature can escape with a DC %1 Escape Artist check or burst the web with a DC %1 Strength check. The check DCs are Constitution-based. The web has 14 hit points and hardness 0. There is a 75%% chance that the webbing will not burn if any sort of fire is applied to it (check each round).|WebDC	KEY:Demon ~ Bebilith ~ Web				DEFINE:WebEscapeArtisDC|0	DEFINE:WebBurstDC|0				BONUS:VAR|WebEscapeArtisDC|DefaultDCCon	BONUS:VAR|WEbBurstDC|DefaultDCCon								AUTO:WEAPONPROF|Ranged (Touch)	AUTO:EQUIP|Bebilith ~ Web								SOURCEPAGE:MM																	
Plane Shift	CATEGORY:Special Ability	TYPE:DemonBebilithRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:This ability affects only the bebilith. It is otherwise similar to the spell (caster level 12th).	KEY:Demon ~ Bebilith ~ Plane Shift																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Plane Shift ~ Bebilith									SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:DemonBebilithRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A bebilith has mottled coloration that gives it a +8 racial bonus on Hide checks.	KEY:Demon ~ Bebilith ~ Skills									BONUS:SKILL|Hide|8|TYPE=Racial																		SOURCEPAGE:MM																	
																																																	
Race Traits ~ Demon (Dretch)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DemonDretchRaceTrait																																														
Natural Weapons	CATEGORY:Special Ability	TYPE:DemonDretchRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A dretch's natural weapons, as well as any weapons it wields, are treated as chaotic-aligned and evil-aligned for the purpose of overcoming damage reduction.	KEY:Demon ~ Dretch ~ Natural Weapons																											SOURCEPAGE:MM																	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DemonDretchRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Demon ~ Dretch ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=1|CASTERLEVEL=2|Scare,12+CHA|Stinking Cloud,13+CHA									SOURCEPAGE:MM																	
Summon Tanar'ri	CATEGORY:Special Ability	TYPE:DemonDretchRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day a dretch can attempt to summon another dretch with a 35%% chance of success. This ability is the equivalent of a 1st-level spell.	KEY:Demon ~ Dretch ~ Summon Tanar'ri																											SOURCEPAGE:MM																	
Telepathy	CATEGORY:Special Ability	TYPE:DemonDretchRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Dretches can communicate telepathically with creatures within 100 feet that speak Abyssal.	KEY:Demon ~ Dretch ~ Telepathy				DEFINE:TelepathyRange|0					BONUS:VAR|TelepathyRange|100									ABILITY:Special Ability|VIRTUAL|Telepathy									SOURCEPAGE:MM																	
