SOURCELONG:Fiend Folio	SOURCESHORT:FF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-04																														
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	DESC:					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DemonMyrmyxicusRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Demon (Myrmyxicus) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=18|Cause Fear|Charm Person|Charm Monster|Freedom of Movement|Telekinesis|Teleport (Greater) ~ Self only|True Seeing	SPELLS:Innate|TIMES=3|CASTERLEVEL=18|Control Water|Control Weather|Dispel Magic (Greater)|Unholy Aura|Unholy Blight								SOURCEPAGE:FF	
Summon Tanar'ri	CATEGORY:Special Ability	TYPE:DemonMyrmyxicusRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, a myrmyxicus can attempt to summon either 2d6 skulvyns or 1 hezrou (myrmyxicus's choice), with a 55%% chance of success (result of 46-100 on d%%).	KEY:Demon (Myrmyxicus) ~ Summon Tanar'ri																											SOURCEPAGE:FF	
Infuse Scythe	CATEGORY:Special Ability	TYPE:DemonMyrmyxicusRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A myrmyxicus can infuse any masterwork scythe it touches with unholy magical energies, transforming it into a +3 unholy scythe as long as the demon remains in physical contact with the scythe. A myrmyxicus may infuse up to four scythes at a time in this manner; most carry four huge masterwork scythes with them for this purpose. The act of infusing a scythe is a full-round action, and the myrmyxicus may only infuse one scythe at a time.	KEY:Demon (Myrmyxicus) ~ Infuse Scythe																											SOURCEPAGE:FF	
Unholy Icor	CATEGORY:Special Ability	TYPE:DemonMyrmyxicusRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The thick, tarlike blood of a myrmyxicus sprays upon any creature that deals damage to the demon with a melee attack using a piercing or slashing weapon or natural weapon. A Reflex save (DC %1) allows the attacker to avoid the spray; otherwise he becomes nauseated for 1d4 rounds. Good-aligned creatures struck by this ichor who fail their saves take 2d6 points of unholy damage from the initial contact.	KEY:Demon (Myrmyxicus) ~ Unholy Icor				DEFINE:UnholyIcorDC|0					BONUS:VAR|UnholyIcorDC|DefaultDCCon																		SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:DemonMyrmyxicusRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A myrmyxicus has a +8 racial bonus on any Swim check to perform some special action or avoid a hazard and can always choose to take 10 on Swim checks, even if distracted or endangered.	KEY:Demon (Myrmyxicus) ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial																		SOURCEPAGE:FF	
																																	
Race Traits ~ Demon (Skulvyn)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DemonSkulvynRaceTrait|Scent	AUTO:LANG|Abyssal																													
Slow Aura	CATEGORY:Special Ability	TYPE:DemonSkulvynRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Living creatures that come within 30 feet of a skulvyn must make a Will save (DC %1) or become slowed for 4 rounds. Skulvyns are immune to this aura. A creature that makes a successful saving throw is immune to that particular skulvyn's slow aura for one day. Creatures that come within range of a pack of skulvyns must make one saving throw for each skulvyn in the pack.|SlowAuraDC	KEY:Demon (Skulvyn) ~ Slow Aura				DEFINE:SlowAuraDC|0					BONUS:VAR|SlowAuraDC|DefaultDCCha	BONUS:VAR|SlowAuraDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Slow Aura)								ABILITY:Ability Focus|AUTOMATIC|Slow Aura									SOURCEPAGE:FF	
Wounding	CATEGORY:Special Ability	TYPE:DemonSkulvynRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Wounds resulting from a skulvyn's tail lash attacks bleed for an additional 1 point of damage per round thereafter. Multiple wounds from such attacks result in cumulative bleeding loss (two wounds for 2 points of damage per round, and so on). The bleeding can be stopped only by a Heal check (DC 15) or the application of any cure spell or other healing spell.	KEY:Demon (Skulvyn) ~ Wounding																											SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:DemonSkulvynRaceTrait.SpecialQualities	VISIBLE:YES	DESC:Skulvyns have a +8 racial bonus on any Swim check to perform some special action or avoid a hazard and can always choose to take 10 on Swim checks, even if distracted or endangered. *They also have a +8 racial bonus on Hide checks when in water.	KEY:Demon (Skulvyn) ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial	BONUS:SITUATION|Hide=Underwater|8|TYPE=Racial																	SOURCEPAGE:FF	
																																	
Race Traits ~ Demon (Wastrilith)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DemonWastrilithRaceTrait|Immunity to Cold|Vulnerability to Fire	AUTO:LANG|Common|Abyssal|Aquan																													
Breath Weapon	CATEGORY:Special Ability	TYPE:DemonWastrilithRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:Cone of boiling water, %2d%3 points of damage, %1 feet, every 1d4 rounds; Reflex DC %4 half.The save DC is Constitution-based.|BreathWeaponCone|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Demon (Wastrilith) ~ Breath Weapon				DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponCone|60	BONUS:VAR|BreathWeaponDice|3	BONUS:VAR|BreathWeaponDamageDie|10|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:FF	
Break Summoning	CATEGORY:Special Ability	TYPE:DemonWastrilithRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:If summoned via a summon monster spell, a wastrilith can make an opposed Wisdom check to break free of the summoning. If it succeeds, it then goes on a rampage, attacking the summoner.	KEY:Demon (Wastrilith) ~ Break Summoning																											SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DemonWastrilithRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Demon (Wastrilith) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=15|Blasphemy|Control Water|Deeper Darkness|Desecrate|Detect Good|Detect Law|Fear|Dispel Magic (Greater)|Read Magic|Suggestion|Telekinesis|Teleport (Greater) ~ Self only|Unhallow|Unholy Blight|Wall of Ice	SPELLS:Innate|TIMES=3|CASTERLEVEL=15|Symbol|Unholy aura	SPELLS:Innate|TIMES=3|CASTERLEVEL=17|Summon Monster IX ~ Aquatic only							SOURCEPAGE:FF	
Immunity to Water	CATEGORY:Special Ability	TYPE:DemonWastrilithRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Wastriliths are immune to attacks that are based on water.	KEY:Demon (Wastrilith) ~ Immunity to Water																											SOURCEPAGE:FF	
Telepathy	CATEGORY:Special Ability	TYPE:DemonWastrilithRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Wastriliths can communicate telepathically with any creature within 100 feet that has a language.	KEY:Demon (Wastrilith) ~ Telepathy									BONUS:VAR|TelepathyRange|100|TYPE=Base																		SOURCEPAGE:FF	
Water Mastery	CATEGORY:Special Ability	TYPE:DemonWastrilithRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A wastrilith gains a +1 bonus on its attack and damage rolls if its opponent is touching water.	KEY:Demon (Wastrilith) ~ Water Mastery																											SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:DemonWastrilithRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Wastriliths have a +8 racial bonus on Intimidate checks. They have a +8 racial bonus on any Swim check to perform some special action or avoid a hazard and can always choose to take 10 on Swim checks, even if distracted or endangered.	KEY:Demon (Wastrilith) ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial	BONUS:SKILL|Intimidate|8|TYPE=Racial																	SOURCEPAGE:FF	
																																	
Race Traits ~ Angel (Monadic Deva)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AngelMonadicDevaRaceTrait											BONUS:VAR|Maneuverability|4|TYPE=Base											AUTO:WEAPONPROF|Mace (Heavy)								
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:AngelMonadicDevaRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Angel (Monadic Deva) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=11|Aid|Charm Monster ~ Elementals only|Consecrate|Continual Flame|Create Food and Water|Death Ward|Detect Evil|Discern Lies,14+CHA|Hold Monster|Mirror Image|Prayer|Protection from Arrows	SPELLS:Innate|TIMES=3|CASTERLEVEL=11|Atonement|Cure Serious Wounds|Daylight|Dispel Magic|Divination|Eyebite|Hallow|Holy Aura|Holy Smite|Neutralize Poison|Plane Shift|Remove Curse|Remove Disease|Remove Fear	SPELLS:Innate|TIMES=1|CASTERLEVEL=11|Commune|Dispel Evil|Raise Dead							SOURCEPAGE:FF	
Deliverance from Death	CATEGORY:Special Ability	TYPE:AngelMonadicDevaRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Monadic devas are immune to all death spells and magical death effects. They are likewise immune to ability damage, ability drain, and energy drain.	KEY:Angel (Monadic Deva) ~ Deliverance from Death																		ABILITY:Special Ability|AUTOMATIC|Immunity To Death Effects|Immunity To Ability Damage|Immunity To Ability Drain|Immunity To Energy Drain									SOURCEPAGE:FF	
Elemental Ease	CATEGORY:Special Ability	TYPE:AngelMonadicDevaRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Monadic devas are immune to the deleterious effects of elemental traits of air-dominant, earth-dominant, fire-dominant, and waterdominant planes (see Chapter 1 of Manual of the Planes). They can breathe in any  environment as if wearing a necklace of adaptation.	KEY:Angel (Monadic Deva) ~ Elemental Ease																											SOURCEPAGE:FF	
Change Shape	CATEGORY:Special Ability	TYPE:AngelMonadicDevaRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A monadic deva can assume the form of any Small or Medium humanoid.	KEY:Angel (Monadic Deva) ~ Change Shape																											SOURCEPAGE:FF	
Uncanny Dodge	CATEGORY:Special Ability	TYPE:AngelMonadicDevaRaceTrait.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES	DESC:Devas retain their Dexterity bonus to Armor Class even when flat-footed or struck by an invisible attacker, and they cannot be flanked except by a rogue of at least %1th level.|UncannyDodgeFlankingLevel|UncannyDodgeFlankingLevel-4	KEY:Angel (Monadic Deva) ~ Uncanny Dodge									BONUS:VAR|UncannyDodgeTracker|1	BONUS:VAR|UncannyDodgeFlankingLevel|18																	SOURCEPAGE:FF	
																																	
Race Traits ~ Angel (Movanic Deva)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AngelMovanicDevaRaceTrait											BONUS:VAR|Maneuverability|4|TYPE=Base											AUTO:WEAPONPROF|Greatsword								
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:AngelMovanicDevaRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Angel (Movanic Deva) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=9|Aid|Consecrate|Continual Flame|Create Food and Water|Death Ward|Detect Evil|Discern Lies|Prayer|Protection from Arrows	SPELLS:Innate|TIMES=3|CASTERLEVEL=9|Atonement|Bless Weapon|Cure Serious Wounds|Daylight|Divination|Eyebite|Hallow|Holy Smite|Neutralize Poison|Plane Shift|Remove Curse|Remove Disease|Remove Fear	SPELLS:Innate|TIMES=1|CASTERLEVEL=9|Commune|Raise Dead							SOURCEPAGE:FF	
Divine Equilibrium	CATEGORY:Special Ability	TYPE:AngelMovanicDevaRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Movanic devas are immune to the effects of negative-dominant or positive-dominant planar energy traits (see Chapter 1 in Manual of the Planes).	KEY:Angel (Movanic Deva) ~ Divine Equilibrium																											SOURCEPAGE:FF	
Heavenly Deflection	CATEGORY:Special Ability	TYPE:AngelMovanicDevaRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Once per round as a free action, a movanic deva can deflect ranged attacks and certain spells by batting them away with its +1 flaming greatsword. When a ranged attack, ray, or single-target spell would ordinarily hit or affect the deva, the deva can make a Reflex saving throw against a base DC of 20. If the ranged weapon has an enhancement bonus, the DC increases by that amount. If the attack is from a spell, the spell level is added to the base DC. If the deva succeeds, it deflects the attack. Deflected spells are negated as if Counterspelled. The deva must be aware of an attack in order to have a chance to deflect it.	KEY:Angel (Movanic Deva) ~ Heavenly Deflection																											SOURCEPAGE:FF	
Change Shape	CATEGORY:Special Ability	TYPE:AngelMovanicDevaRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A movanic deva can assume the form of any Small or Medium humanoid.	KEY:Angel (Movanic Deva) ~ Change Shape																											SOURCEPAGE:FF	
Soothing Presence of Nature	CATEGORY:Special Ability	TYPE:AngelMovanicDevaRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Movanic devas have a calm spirit that is pleasing to inhabitants of the natural world. Unless magically compelled to do so, no plant or animal will attack a movanic deva.	KEY:Angel (Movanic Deva) ~ Soothing Presence of Nature																											SOURCEPAGE:FF	
																																	
Race Traits ~ Devil (Paeliryon)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DevilPaeliryonRaceTrait|Scent	AUTO:LANG|Common|Undercommon										BONUS:VAR|Maneuverability|2|TYPE=Base																			
Augmented Critical	CATEGORY:Special Ability	TYPE:DevilPaeliryonRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A paeliryon's fingernails threaten a critical hit on a natural attack roll of 17-20 due to the creature's augmented critical ability and its Improved Critical feat. On a successful critical hit with its fingernails, the paeliryon deals triple damage.	KEY:Devil (Paerilyon) ~ Augmented Critical									BONUS:WEAPONPROF=Fingernail|CRITRANGEADD|2	BONUS:WEAPONPROF=Beak|CRITMULTADD|1																	SOURCEPAGE:FF	
Belittle	CATEGORY:Special Ability	TYPE:DevilPaeliryonRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:As a standard action, a paeliryon can belittle creatures by hurling insults and epithets that seem to strike at the heart of its foes' insecurities. This is a mind-affecting effect that originates from the paeliryon and extends outward in a 60-foot cone. All opponents within the cone must make a Will save (DC %1) or be stunned for 1 round. Those who succeed on their saves but remain within the cone must continue to save each round that the paeliryon continues to belittle them. After being stunned, opponents become shaken for 3d4 rounds, though they cannot be stunned again by that paerliyon for one day.|BelittleDC	KEY:Devil (Paerilyon) ~ Belittle				DEFINE:BelittleDC|0					BONUS:VAR|BelittleDC|DefaultDCCha	BONUS:VAR|BelittleDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Belittle)								ABILITY:Ability Focus|AUTOMATIC|Belittle									SOURCEPAGE:FF	
Deform	CATEGORY:Special Ability	TYPE:DevilPaeliryonRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A paeliryon can twist and deform victims struck by its fingernails. Those struck by the fingernails must make a Fortitude save (DC %1). Success indicates the victim takes only normal fingernail damage. Failure indicates the victim takes 1d4 points of Charisma damage in addition to normal damage.|DeformDC	KEY:Devil (Paerilyon) ~ Deform				DEFINE:DeformDC|0					BONUS:VAR|DeformDC|DefaultDCCha	BONUS:VAR|DeformDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Deform)								ABILITY:Ability Focus|AUTOMATIC|Deform									SOURCEPAGE:FF	
Fingernails	CATEGORY:Special Ability	TYPE:DevilPaeliryonRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A paeliryon's fingernails are its deadliest weapon. It can extend them from its hands, which enables it to attack foes up to 30 feet away with them as if it had 30-foot reach. Those struck by a paeliryon's fingernails may fall prey to its deform special attack, as well as take normal damage. A paeliryon can extend or retract its fingernails at will (a free action).	KEY:Devil (Paerilyon) ~ Fingernails																											SOURCEPAGE:FF	
Intoxicating Scent	CATEGORY:Special Ability	TYPE:DevilPaeliryonRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any creature that comes within 30 feet of a paeliryon must make a Will save (DC %1) or be intoxicated by the monster's pernicious aura. This ability works like a mind fog spell cast by a 20th-level caster; its effects persist as long as the victim remains within 30 feet of the devil, plus an additional 2d6 rounds. A creature that succeeds on its Will save against the devil's intoxicating scent remains immune to that paeliryon's intoxicating scent for one day.|DeformDC	KEY:Devil (Paerilyon) ~ Intoxicating Scent				DEFINE:IntoxicatingScentDC|0					BONUS:VAR|IntoxicatingScentDC|DefaultDCCha	BONUS:VAR|IntoxicatingScentDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Intoxicating Scent)								ABILITY:Ability Focus|AUTOMATIC|Intoxicating Scent									SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DevilPaeliryonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Devil (Paerilyon) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Animate Dead|Antilife Shell|Blasphemy|Charm Person|Create Undead|Desecrate|Detect Chaos|Detect Good|Detect Magic|Fireball|Dispel Magic (Greater)|Hold Monster|Invisibility (Greater)|Magic Circle against Good|Major Image|Mind Blank|Produce Flame|Suggestion|Teleport (Greater) ~ Self only|Unhallow|Unholy Aura|Wall of Fire	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Blasphemy|Enervation|Meteor Swarm|Permanent Image|Screen|Shadow Walk|Symbol|Vampiric Touch	SPELLS:Innate|TIMES=1|CASTERLEVEL=20|Dictum|Dispel Good|Forbiddance|Command (Greater)|Implosion|Imprisonment|Soul Bind|Word of Recall							SOURCEPAGE:FF	
