SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-05
																																				
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page				
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineOracleClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A divine oracle continues advancing in spellcasting ability as well as gaining the abilities of her new class. Thus, when a new divine oracle level is gained, the character gains new spells per day (and spells known, if applicable) as if she had also gained a level in whatever spellcasting class she belonged to before she added the prestige class. She does not, however, gain any other benefi t a character of that class would have gained (improved chance of controlling or rebuking undead, wild shape ability, and so on). This essentially means that she adds the level of divine oracle to the level of whatever other spellcasting class the character has, then determines spells per day accordingly. For example, if Cassandra, a 10th-level cleric, gains a level as a divine oracle, she gains new spells as if she had risen to 11th level as a cleric, but uses the other divine oracle aspects of level progression such as base attack bonus and save bonuses. If she next gains a level as a cleric, making her an 11th-level cleric/1st-level divine oracle, she gains spells as if she had risen to 12th level as a cleric. If a character had more than one spellcasting class before she became a divine oracle, the player must decide which class to assign each level of divine oracle for the purpose of determining spells per day and spells known.	KEY:Divine Oracle ~ Spells per Day																										SORTKEY:Class_Divine_Oracle	SOURCEPAGE:CD				
Oracle Domain	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineOracleClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Upon adopting the divine oracle class, the character gains access to the Oracle domain, described in Chapter 7: Domains and Spells. The character gains the granted power associated with the domain (+2 caster level for divination spells), and can choose the spells in that domain as her daily domain spells.	KEY:Divine Oracle ~ Oracle Domain																										SORTKEY:Class_Divine_Oracle	SOURCEPAGE:CD				
Scry Bonus	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineOracleClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A divine oracle adds a +1 sacred bonus to the save DC of all her divination (scrying) spells.	KEY:Divine Oracle ~ Scry Bonus									BONUS:DC|SUBSCHOOL.Scrying|1																	SORTKEY:Class_Divine_Oracle	SOURCEPAGE:CD				
Prescient Sense	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineOracleClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beginning at 2nd level, if a divine oracle makes a successful Refl ex saving throw against an attack that normally infl icts half damage on a successful save (such as a red dragon's fi ery breath or a fi reball spell), she instead takes no damage, since her prescience allowed her to get out of the way faster. This form of evasion works no matter what armor the divine oracle wears, unlike the evasion ability used by monks and rogues.	KEY:Divine Oracle ~ Prescient Sense																										SORTKEY:Class_Divine_Oracle	SOURCEPAGE:CD				
Trap Sense	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineOracleClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, the divine oracle gains an intuitive sense that alerts her to danger from traps, giving her a +1 bonus on Reflex saves made to avoid traps and a +1 dodge bonus to AC against attacks by traps. This increases to +2 at level 5 and +3 at level 8.	KEY:Divine Oracle ~ Trap Sense									BONUS:VAR|TrapSenseBonus|(((DivineOracleLVL+1)/3))									ABILITY:Special Ability|AUTOMATIC|Trap Sense								SORTKEY:Class_Divine_Oracle	SOURCEPAGE:CD				
Divination Enhancement	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineOracleClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beginning at 3rd level, a divine oracle may roll twice and take the better result when using divination spells such as augury or divination.	KEY:Divine Oracle ~ Divination Enhancement																										SORTKEY:Class_Divine_Oracle	SOURCEPAGE:CD				
Uncanny Dodge	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineOracleClassFeatures.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES	DESC:Starting at 4th level, a divine oracle gains the ability to react to danger before her senses would normally allow her to do so. The divine oracle retains her Dexterity modifi er to AC (if any) regardless of being caught fl at-footed or struck by an invisible attacker. (She still loses her Dexterity modifi er to AC if immobilized.)	KEY:Divine Oracle ~ Uncanny Dodge									BONUS:VAR|UncannyDodgeFlankingLevel|DivineOracleLVL|TYPE=EachClass.REPLACE																	SORTKEY:Class_Divine_Oracle	SOURCEPAGE:CD				
Improved Uncanny Dodge	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineOracleClassFeatures.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES	DESC:At 6th level and higher, the divine oracle can no longer be fl anked, since she can react to opponents on opposite sides of her as easily as she can react to a single attacker. This defense denies rogues the ability to use fl ank attacks to sneak attack the divine oracle. The exception to this defense is when an attacker has at least 4 more rogue levels than the target has divine oracle Levels. If a character If a character already has levels of a class that could gain uncanny dodge, the levels from the classes that grant uncanny dodge stack to determine the minimum level a rogue must be to flank the character.	KEY:Divine Oracle ~ Improved Uncanny Dodge																										SORTKEY:Class_Divine_Oracle	SOURCEPAGE:CD				
Immune to Surprise	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineOracleClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 10th level, the divine oracle's sensitivity to danger is so great that she is never surprised. She can always take a standard action during a surprise round, unless she is physically restrained from doing so. If there is no surprise round then this ability doesn't help.	KEY:Divine Oracle ~ Immune to Surprise																										SORTKEY:Class_Divine_Oracle	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.EntropomancerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Entropomancers gain no proficiency with weapons, armor, or shields of any type.	KEY:Entropomancer ~ Weapon and Armor Proficiency																										SORTKEY:Class_Entropomancer	SOURCEPAGE:CD				
Shard of Entropy	CATEGORY:Special Ability	TYPE:ClassFeatures.EntropomancerClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Twice per day, for a maximum of 1 round per entropomancer level, the character can create a miniature shard of entropy. The shard is a chunk of absolute blackness, 2 inches across, and can be moved up to 30 feet by the entropomancer as a standard action. Against objects, the shard deals 3d6 points of damage, bypassing the object's hardness. Against creatures, the entropomancer must make a ranged touch attack to hit, and if successful the shard deals 3d6 points of damage to the target (Fortitude half, DC 12 + the entropomancer's Wis modifier). The shard appears in any square adjacent to the entropomancer when it is created, and it can be used to attack on the round it is formed. The shard of entropy lurches, jumps, and bounces around the square it's in. Any creature who passes through the shard's square takes damage as if the shard struck him (Fortitude half), as does any creature that's in the same square as the shard at the beginning of the entropomancer's turn.  The entropomancer can move the shard into another square with a move action, or aim it at a specific creature (dealing damage immediately) as a standard action. At 5th level, the entropomancer can use the shard to create a deeper connection to absolute nothingness. The shard of entropy deals 5d6 points of damage (Fortitude half, DC 14 + entropomancer's Wis modifier). At 9th level, the shard of entropy becomes even stronger, dealing 7d6 points of damage (Fortitude half, DC 16 + entropomancer's Wis modifier). It also exerts an inexorable tug on creatures nearby, pulling them toward the shard. At the end of the entropomancer's turn, the shard tries to pull creatures within 15 feet closer to it. This is treated as a bull rush attempt, for which the shard has a +11 bonus. If the shard wins the opposed check, it bull rushes creatures in a direct line toward its square. The entropomancer isn't immune to this effect.	KEY:Entropomancer ~ Shard of Entropy	DESC:%1/day|ShardOfEntropyTimes			DEFINE:ShardOfEntropyTimes|0																						SORTKEY:Class_Entropomancer	SOURCEPAGE:CD				
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.EntropomancerClassFeatures.SpecialAttack	VISIBLE:YES	DESC:Whenever an evennumbered level in the prestige class is gained, the entropomancer gains new spells per day (and spells known, if applicable) as if she had also gained a level in whatever spellcasting class in which he could cast 4th-level divine spells before she added the prestige class level. She does not, however, gain any other benefi t a character of that class would have gained. If a character had more than one divine spellcasting class in which she could cast 4th-level spells before she became an entropomancer, she must decide to which class she adds each level of entropomancer for the purpose of determining spells per day and spells known.	KEY:Entropomancer ~ Spells per Day																										SORTKEY:Class_Entropomancer	SOURCEPAGE:CD				
Entropic Field	CATEGORY:Special Ability	TYPE:ClassFeatures.EntropomancerClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a standard action, an entropomancer can surround herself with a fi eld of invisible, entropic energy that lasts for 1 round per entropomancer level. The fi eld extends in a 5-foot per entropomancer level radius, centered on the entropomancer. All magical healing automatically fails within the entropic fi eld. It takes the entropomancer a standard action to dismiss the entropic fi eld. At 5th level, the entropic fi eld becomes strong enough to warp the laws of probability. Once per round, as a free action, the entropomancer can force a character within the fi eld (including herself) to reroll an attack, save, or check. The entropomancer demands the reroll after she knows whether the attack, save, or check succeeded or failed, but before the exact consequences have been calculated and applied. The result of the reroll takes precedence, even if it's worse than the original roll. At 7th level, the entropic fi eld causes wounds created within it to continue bleeding, dealing an additional 1 point of damage per round thereafter (at the end of the entropomancer's turn) as long as they remain within the entropic fi eld. A successful Heal check (DC 15) stops the bleeding. If multiple wounds are suffered, then the creature takes 1 point of damage per wound. The entropomancer is subject to the bleeding effect.	KEY:Entropomancer ~ Entropic Field																										SORTKEY:Class_Entropomancer	SOURCEPAGE:CD				
Control Sphere	CATEGORY:Special Ability	TYPE:ClassFeatures.EntropomancerClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The entropomancer has the ability to control a sphere of annihilation (described on page 279 of the Dungeon Master's Guide) as if he were using a talisman of the sphere, and the entropomancer is personally unaffected by a sphere of annihilation, which passes through him as if his square was completely empty. High-level entropomancers are often obsessed with acquiring spheres of annihilation.	KEY:Entropomancer ~ Control Sphere																										SORTKEY:Class_Entropomancer	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.EvangelistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Evangelists gain no weapon or armor proficiencies.	KEY:Evangelist ~ Weapon and Armor Proficiency																										SORTKEY:Class_Evangelist	SOURCEPAGE:CD				
Great Oratory	CATEGORY:Special Ability	TYPE:ClassFeatures.EvangelistClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An evangelist can inspire, protect, and otherwise improve the situation of his allies simply by speaking clearly and being heard. This ability is similar to the bard's bardic music ability (see page 29 of the Player's Handbook for a complete description) and, indeed, evangelist levels stack with bard levels to determine the strength of known bard songs. For example, a bard 3/evangelist 5 improves his inspire competence ability, but does not gain any new bard abilities. He could use bardic music to convert the unfaithful, countersong, fascinate, inspire the righteous, inspire courage +2, inspire dread or inspire hope, but would not gain the inspire competence, inspire greatness, or suggestion abilities. Alternately, a bard 7/evangelist 1 would be able to use bardic music to countersong, fascinate, inspire competence, inspire courage +2, inspire dread or inspire hope, and suggestion. Evangelist oratory abilities function in exactly the same manner as bardic music except the evangelist must speak loudly and clearly, rather than sing or play an instrument.	KEY:Evangelist ~ Great Oratory				DEFINE:EvangelistGreatOratoryLVL|0					BONUS:VAR|EvangelistGreatOratoryLVL|EvangelistLVL	BONUS:VAR|GreatOratoryLVL|EvangelistGreatOratoryLVL	BONUS:VAR|GreatOratoryTimes|EvangelistGreatOratoryLVL	BONUS:VAR|BardicMusicLVL|EvangelistLVL						ABILITY:Special Ability|AUTOMATIC|Great Oratory								SORTKEY:Class_Evangelist	SOURCEPAGE:CD				
CATEGORY=Special Ability|Evangelist ~ Great Oratory.MOD	ABILITY:Special Ability|AUTOMATIC|Great Oratory ~ Inspire Dread|PREALIGN:LE,NE,CE|PRESKILL:1,Perform (Oratory)=9|PREVARGTEQ:GreatOratoryLVL,1|!PREABILITY:1,CATEGORY=ACF,TYPE.GreatOratoryInspireDread																																			
CATEGORY=Special Ability|Evangelist ~ Great Oratory.MOD	ABILITY:Special Ability|AUTOMATIC|Great Oratory ~ Inspire Hope|PREALIGN:LG,LN,NG,TN,CG,CN|PRESKILL:1,Perform (Oratory)=9|PREVARGTEQ:GreatOratoryLVL,1|!PREABILITY:1,CATEGORY=ACF,TYPE.GreatOratoryInspireDread																																			
